Hora,PMA,Speed,SPL,SNR,Calado,Direct,Indirect,Detections,Alone,Visible,Duration,Ideal
-0.354291038,77.808,36.4549,146.6422,6.2851,0,81.42533306,81.42533306,3,0.833333333,1,12.9,1
0.998579611,268.891,33.3232,132.401,3.9309,0,269.9599413,269.9599413,2,36,-1,0,-1
0.297236007,193.0723,36.037,135.7831,5.7872,0,194.558251,194.558251,3,2.166666667,1,16.6,-1
0.691145244,73.537,34.546,140.5304,11.0886,0,77.35431707,77.35431707,4,2.166666667,1,11.9,1
0.088894297,1121.5945,40.0432,135.7623,5.4482,0,1121.851248,1121.851248,1,9,1,11.9,1
-0.29688881,188.465,36.7387,135.8034,7.2198,0,189.9869896,189.9869896,4,39,1,7.8,1
-0.47081942,260.1689,37.905,132.2911,5.7113,0,261.2735282,261.2735282,1,40.5,-1,0,-1
-0.47081942,260.1689,37.905,124.4929,-4.7667,0,261.2735282,261.2735282,1,40.5,-1,0,-1
-0.153560738,20.6227,41.0401,121.943,-1.0363,0,31.64325766,31.64325766,3,17,-1,0,-1
0.106191761,112.695,41.4039,146.4367,2.9315,0,115.2222332,115.2222332,2,60.16666667,-1,0,-1
-0.358096367,55.1696,39.4156,151.8576,3.4022,0,60.16381607,60.16381607,1,1.166666667,-1,0,-1
-0.996332862,38.4233,19.5606,132.5386,19.8045,0,45.30286948,45.30286948,4,21,1,10.6,1
-0.997985418,67.4902,35.4903,118.9123,5.604,0,71.63048999,71.63048999,4,7.666666667,1,8.7,-1
0.137588608,499.3622,38.0994,132.451,13.2594,0,499.938603,499.938603,1,83,1,23.7,1
0.131391341,75.0965,39.4601,124.4494,6.2026,0,78.83834291,78.83834291,3,18.83333333,1,3.3,-1
0.805583727,25.305,29.2484,131.5944,13.0945,0,34.87610966,34.87610966,1,71.5,1,11.2,-1
0.268219318,61.4394,29.5465,136.2238,14.0066,0,65.96059333,65.96059333,3,26.83333333,1,13.3,-1
0.983846006,243.6753,17.2264,131.6999,12.0586,0,244.8543482,244.8543482,0,30,1,17.9,-1
-0.811998646,23.8621,41.365,133.3381,7.1939,0,33.84375594,33.84375594,1,53.83333333,1,17.9,-1
-0.467158405,3.9827,38.2938,123.2956,10.0959,0,24.328212,24.328212,3,48,1,15.9,1
-0.867077947,66.5457,14.2125,141.0349,5.8111,0,70.74129055,70.74129055,1,34.5,-1,0,-1
-0.79556161,35.834,34.2954,144.872,18.1152,0,43.12859325,43.12859325,2,90,-1,0,-1
-0.41449471,13.3174,17.3355,140.5037,9.0479,0,27.44727933,27.44727933,2,46.83333333,-1,0,-1
-0.975149354,122.7284,37.3089,139.1018,10.3046,0,125.0530294,125.0530294,1,26.66666667,1,10.4,1
-0.579281172,31.2247,41.7117,140.9354,4.7135,0,39.38250741,39.38250741,1,1.5,-1,0,-1
-0.242697999,52.1918,42.5492,137.0588,3.7889,0,57.44548709,57.44548709,2,0.166666667,-1,0,-1
-0.958695719,11.8256,38.4857,134.2847,5.9888,0,26.7552764,26.7552764,4,36.83333333,-1,0,-1
0.156362638,41.484,27.0559,136.8807,2.4232,0,47.92621679,47.92621679,1,21.16666667,-1,0,-1
-0.971514663,151.483,37.6947,117.0011,1.6308,0,153.3724202,153.3724202,3,1.5,1,10.8,-1
0.359861112,71.6964,34.128,120.6566,5.3244,0,75.60670455,75.60670455,3,3.166666667,-1,0,-1
-0.97061157,69.0408,42.2215,123.5587,4.9325,0,73.09331067,73.09331067,1,34.16666667,-1,0,-1
-0.665501796,39.8228,33.162,141.5675,11.8274,0,46.49575679,46.49575679,2,63,1,19.6,1
-0.879856019,31.2541,21.5781,117.3491,4.548,0,39.40582148,39.40582148,3,18.16666667,-1,0,-1
-0.862255959,64.4255,44.0648,146.6132,4.6872,0,68.75060036,68.75060036,3,10.66666667,-1,0,-1
-0.982975458,29.4858,25.7106,125.9306,8.3243,0,38.01857969,38.01857969,3,3,-1,0,-1
-0.988482884,21.597,23.3521,121.782,5.7343,0,32.2866909,32.2866909,2,5.166666667,-1,0,-1
-0.994384216,38.336,27.4318,122.7216,7.2966,0,45.22885026,45.22885026,1,25,-1,0,-1
-0.998399906,11.1159,41.0346,130.5894,6.0112,0,26.4492577,26.4492577,4,18.16666667,1,3.75,-1
-0.986726127,16.0908,18.3168,135.2762,11.2304,0,28.89487575,28.89487575,1,49.5,1,10.3,-1
0.760547635,178.6757,38.5529,122.9112,8.1212,0,180.2803533,180.2803533,2,36.66666667,1,7.05,-1
0.788055524,14.6478,15.6835,143.7554,17.854,7.6,21.98904375,34.82984417,1,113.8333333,1,18.4,-1
0.868415247,16.5615,17.9095,145.0019,14.3951,7.6,23.30757993,35.67692927,1,38.5,1,10.5,-1
-0.733532192,18.0373,19.0752,145.1907,14.3412,7.6,24.37835498,36.38549424,2,33,1,11.2,1
0.782970189,33.1074,18.3419,139.5718,28.3176,7.6,36.94671751,45.76745497,2,27.16666667,1,10.2,-1
0.454444012,46.2053,18.3453,148.9813,18.8901,7.6,49.02947836,55.97758255,1,37.83333333,1,12.5,-1
-0.976905937,51.3805,9.7192,144.2369,11.4023,7.6,53.93436548,60.32011091,4,74.16666667,1,7.45,1
-0.478436443,56.3418,19.4385,140.9764,17.3543,7.6,58.68013656,64.59843982,0,30,1,12.1,1
0.699299544,61.5713,14.0051,140.0927,17.761,7.6,63.71801145,69.20682758,1,22.5,-1,0,-1
-0.976999075,69.1675,15.6625,131.3711,6.5225,7.6,71.08518169,76.04408627,1,81.33333333,1,14.4,1
-0.999730931,76.5844,19.6976,123.0297,3.7981,7.6,78.32068899,82.84763318,3,25.5,1,16.6,-1
0.307218211,76.4558,11.4274,150.4028,20.4741,7.6,78.19494455,82.72876981,1,110.5,1,29.7,1
0.410519927,87.409,22.1619,161.9288,17.0927,7.6,88.9342076,92.94564692,2,41.33333333,1,9.5,1
0.695651632,91.0705,14.7902,143.8938,13.5629,7.6,92.53537686,96.39707449,1,76.16666667,1,13.2,1
-0.353338785,92.4496,18.5378,147.1487,20.4558,7.6,93.89296321,97.70101607,2,99,1,14.5,1
0.015489178,100.2147,19.3445,159.7564,12.0612,7.6,101.5477528,105.0787614,1,54,1,11.8,1
0.01476204,100.1483,14.93,123.2881,10.6943,7.6,101.482225,105.0154369,3,19.33333333,1,11.7,1
-0.60007124,103.023,17.3495,144.6309,15.6873,7.6,104.3201732,107.7603755,2,3.666666667,1,8,-1
0.695912797,130.8656,15.9577,134.1628,15.6892,7.6,131.8892159,134.6267628,2,24.66666667,1,16.4,1
0.780157519,128.5393,16.9847,141.573,14.2911,7.6,129.5812936,132.3665805,0,30,1,17.3,1
-0.782109931,132.5587,18.7732,130.0987,9.43,7.6,133.5693413,136.273141,2,16.16666667,1,3.35,-1
-0.80025193,6.0898,16.7705,143.5614,7.3682,11.3,14.08458959,35.8214414,1,7.333333333,-1,0,-1
0.715184643,12.7537,16.3899,133.1157,9.1236,11.3,17.99852393,37.53327675,1,68.33333333,1,18.6,1
0.54549261,12.9651,20.0585,133.354,17.6688,11.3,18.14893435,37.60563546,2,22.5,1,6.3,-1
0.946391163,19.0522,19.8528,129.3625,3.6877,11.3,22.89708114,40.11329362,1,55.16666667,1,9.5,-1
0.036498362,54.4794,19.0082,125.852,4.0148,11.3,55.94010211,64.91606137,4,16.33333333,1,12.5,1
-0.8992717,66.0088,19.1573,143.4848,10.1979,11.3,67.21942932,74.85487077,2,51.83333333,-1,0,-1
-0.8992717,66.0088,19.1573,142.6718,9.6695,11.3,67.21942932,74.85487077,2,49.33333333,-1,0,-1
0.790155012,110.2197,17.7586,133.5066,9.5453,11.3,110.9489624,115.7344904,1,47.33333333,-1,0,-1
0.876271644,68.1621,16.2282,156.0476,3.0266,11.3,69.33514171,76.76041868,4,30.16666667,1,7.7,-1
-0.449318999,68.3523,22.4884,130.5591,15.0196,11.3,69.52213256,76.92936315,3,10.5,-1,0,-1
0.401748001,72.8308,13.5013,141.2166,9.8586,11.3,73.92980068,80.93463677,1,97.83333333,-1,0,-1
-0.736539944,86.9455,18.0249,131.7309,1.5196,11.3,87.86813968,93.83821167,1,31.16666667,-1,0,-1
0.718227507,19.7878,17.4946,126.9739,11.2941,7.9,25.51013581,37.53887357,1,69.33333333,1,17,1
-0.862624048,36.9789,24.9273,137.5585,12.5448,7.9,40.33173744,48.83696392,3,53.66666667,-1,0,-1
-0.009744601,43.4405,19.4385,152.6732,20.4276,7.9,46.3280373,53.89514858,4,6.333333333,1,22.4,1
0.713250449,127.1837,16.0756,127.0431,13.8775,7.9,128.1986878,131.123238,2,31.83333333,1,17.8,1
-0.863945391,97.7533,19.787,150.1614,5.9153,7.6,99.11946156,102.7339655,1,145.8333333,1,18.6,1
-0.895420555,41.1054,19.71,125.7305,7.9435,7.1,44.4439412,51.54477577,1,2.333333333,-1,0,-1
0.186309694,48.8914,19.4385,134.9504,9.5423,7.1,51.72986559,57.94462006,1,116.5,-1,0,-1
0.922032149,89.2631,14.6483,136.2719,20.2608,7.1,90.8488361,94.52571619,1,139.8333333,1,25.5,-1
-0.800033833,19.4174,19.3511,149.294,7.2478,5,27.16680737,34.90036422,1,1.666666667,1,7.1,1
-0.800033833,19.4174,19.3511,149.686,9.1204,5,27.16680737,34.90036422,1,41.83333333,1,7.7,1
